Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1,
4ee2744a-6e41-43a6-98ca-2390cb9e18b8,1,Clobetasone 15g Retired Retired Retired,5e6481fe-1f58-4c10-9c6d-69e59c0f624a,29f057e5-c86d-4980-bdb0-69b46cd477c5,,,
d9c230a5-89d8-4e4d-b08b-2af3b1234c80,1,Paracetamol 500mg Retired Retired Retired,62b91692-0641-45b1-9233-3c9609c6b6a8,33b0b316-8a92-11e4-977f-0800271c1b75,,,
28d067a3-7e40-4331-9452-bd6b0e9bf201,1,Paracetamol 120mg/5ml Retired Retired Retired,4750370f-ad8e-49c5-80d2-b2136f59c3e9,60990734-cdad-4e94-8160-422c3796a30b,,,
3c2be95a-9c20-4079-a242-4f4c00433b72,1,Salbutamol inhaler Retired Retired Retired,4919a2dc-1781-498a-90e2-6cf1ec983681,e5af7ef5-d381-44e4-85cb-6890b4041f21,,,
e45e83b8-10d1-430e-bf79-59e0155ca43f,1,Chana Retired Retired Retired,a430727e-e343-4454-b3a4-fbc3d0100eaa,12f4e35a-08f1-42af-95c5-4f732c3825c6,,,
84685f8d-ac2d-4952-b38d-1e77a2602328,1,Albendazole 400mg Retired Retired Retired,72930208-b569-4453-9487-9b66d1c774ba,33b0b316-8a92-11e4-977f-0800271c1b75,,,
32c5312e-e640-4b4f-9353-612abbd31117,1,Cytalon 100mg Retired Retired Retired,97b322c9-045e-4126-b479-4376f2823a65,111b7c83-bd20-456a-9eb0-ab647e6566e0,,,
59f48da6-190d-4d16-8fb3-168e94c9911e,1,Ipratropium Bromide Respirator Solution 15ml Retired Retired Retired,5bdf695a-aba8-45bb-b7ea-3c278de29b08,14b67db6-97a9-4754-800a-e8f7dadf1e4a,,,
3abb7336-e1a7-48c1-9ef3-e6a45bd000b6,1,Pentazocine 1ml Retired Retired Retired,4c87e6d5-7042-435e-9ef7-a8d14c15bfe1,111b7c83-bd20-456a-9eb0-ab647e6566e0,,,
4ee6f5af-68c6-4a78-a675-a9ebfce1f625,1,Aciclovir 200mg Retired Retired Retired,c1c98f8b-d6a9-4030-8864-eeeaafb66a58,33b0b316-8a92-11e4-977f-0800271c1b75,,,
04fb9ae7-6517-49a1-add4-1ea819268a2a,1,Aciclovir 250mg Retired Retired Retired,c1c98f8b-d6a9-4030-8864-eeeaafb66a58,111b7c83-bd20-456a-9eb0-ab647e6566e0,,,
4416fc3a-7025-44be-afd8-584168c161d7,1,Aciclovir 400mg Retired Retired Retired,c1c98f8b-d6a9-4030-8864-eeeaafb66a58,33b0b316-8a92-11e4-977f-0800271c1b75,,,
2a215a46-cbfa-42b4-9a9f-50183e5cb40e,1,Cephlexin 500mg Retired Retired Retired,da6975f8-aebf-457b-b6f5-f3ab14f6ea5f,33b11175-8a92-11e4-977f-0800271c1b75,,,
bceebd00-5b29-4197-85c5-82be30e2ee02,1,Cephlexin 250mg Retired Retired Retired,da6975f8-aebf-457b-b6f5-f3ab14f6ea5f,33b0b316-8a92-11e4-977f-0800271c1b75,,,
8835df5e-7a51-4da6-a513-48bed68f0534,1,Lajvanti Panchang 50gm Retired Retired Retired,e7c9f7e4-4fc3-409c-85a3-4747d2c8ffac,8d830375-fc10-4a18-be29-1a7350dea40d,,,
7e3d5c68-d3d4-47b6-8c49-2d64fbdd197a,1,Hepatitis - B 10ml Retired Retired Retired,c2e3509d-3c29-42b2-b8ce-266c2084bc95,111b7c83-bd20-456a-9eb0-ab647e6566e0,,,
b6d72152-c4ad-42c1-80e4-68c267fa232e,1,Hepatitis - B 1ml Retired Retired Retired,c2e3509d-3c29-42b2-b8ce-266c2084bc95,111b7c83-bd20-456a-9eb0-ab647e6566e0,,,
7ccee5ed-c006-4d11-93ac-c3166bdd9f43,1,Lajvanti Panchang 100gm Retired Retired Retired,9d2ec48e-a798-4a71-8a4e-93e5ca1d13b7,8d830375-fc10-4a18-be29-1a7350dea40d,,,
dfc15a13-381c-45d1-82ee-377b19ee1bed,1,Beclomethasone Retired Retired Retired,7ca7e858-826f-4f80-8652-303c0a75d8b8,60990734-cdad-4e94-8160-422c3796a30b,,,
0a595a8c-cad6-4231-8cfe-960a20c1918b,1,Sodium Thiosulphate Camical 500gm Retired Retired Retired,8d5243cb-db40-496b-916c-5eb2d0f4a1a2,4c070636-db06-4f58-9a96-409310b4c702,,,
e7ff4462-5f1f-4bb5-8f0e-f49dea1820b1,1,Placentex 60ml Retired Retired Retired,27276a00-29e2-445f-9474-b0f41be32851,d91ceba3-a908-49a6-9b9c-0fc473efb709,,,
b61375bb-9c58-4259-920f-d53cda2c791b,1,Ciprofloxacin Eye/Ear Drop 10ml Retired Retired Retired,a5a5aaf1-541e-4ca6-9753-bd4b0e479f81,468e9abb-138e-44ed-906c-e25b78d04c56,,,
6c08c703-d67c-4bae-b3c1-0604989e05f0,1,Clotrimazole+Lignocaine Ear Drop Retired Retired Retired,2e5b66c3-ab0d-4724-a1af-ee06b16c623c,468e9abb-138e-44ed-906c-e25b78d04c56,,,
871db3cb-3158-49d3-89f3-4f5af0843918,1,Metronidazole 20g Retired Retired Retired,f9608d19-a304-4508-9074-4858cd3ccbed,61e9f4ce-fd91-405d-9a51-d0ccc94b18fa,,,
e448ffbd-4bc4-41fc-bb51-4ff95e0a0858,1,Lignocaine Hydrochloride Jelly 2% Retired Retired Retired,eeae78ac-194e-49dc-804c-6ad2f16b3fb9,fb81d5c2-c687-4708-ac87-912b182b996a,,,
2f7bc8fb-93b9-4519-9efb-8a09ae060246,1,Paracetamol 60ml Retired Retired Retired,9881091b-1802-4c62-8b80-a8fcb170b59f,60990734-cdad-4e94-8160-422c3796a30b,,,
c8c8db6b-2ea1-42a0-ba88-965d350ea7a0,1,Paracetamol 2ml Retired Retired Retired,9881091b-1802-4c62-8b80-a8fcb170b59f,111b7c83-bd20-456a-9eb0-ab647e6566e0,,,
bb12e744-7c8e-4f26-b9a8-43e9164a8f00,1,Paracetamol 4.5 Litre Retired Retired Retired,9881091b-1802-4c62-8b80-a8fcb170b59f,60990734-cdad-4e94-8160-422c3796a30b,,,
fdf1ae9d-964c-4d39-80bc-495fb031926b,1,Povidine 15g Retired Retired Retired,92d29642-62fe-421a-abe7-baa7afc8654d,c11814ab-4e88-46d7-8e9c-e78eb8312750,,,
43c0d71c-e399-4b48-888d-e11c3e532822,1,B-Complex Retired Retired Retired,4db80f7e-5186-4750-94f3-9d884eda01e2,33b0b316-8a92-11e4-977f-0800271c1b75,,,
e5134dca-f0cd-4974-9022-89f4c699a283,1,Rifampicin Retired Retired Retired,38dcc101-d385-4771-b005-7ba9825ca0c6,33b0b316-8a92-11e4-977f-0800271c1b75,600 mg,,
c086af09-21b0-4b23-a603-a5644b1081f0,1,Isoniazid Retired Retired Retired,83c9a8d1-d282-437f-a882-ff4c3179908d,33b0b316-8a92-11e4-977f-0800271c1b75,300 mg,,
aabd998a-a402-43a9-a59a-138f59122157,1,Ethambutol Retired Retired Retired,aa018411-bcb2-4392-ab5f-b489f7243612,33b0b316-8a92-11e4-977f-0800271c1b75,1200 mg,,
9d6c7aeb-4b9f-41e4-ad4b-a4504e8967a5,1,Pyrazinamide Retired Retired Retired,5fd156c3-c76f-4067-9856-6a6bd1912a96,33b0b316-8a92-11e4-977f-0800271c1b75,,,
e566bebf-33e6-4fd1-b65c-45ec8e9e9f18,1,Metformin Retired Retired Retired,63aaaeba-9b3c-4ff5-9faf-522c10b6f54c,33b0b316-8a92-11e4-977f-0800271c1b75,500 mg,,
8e3c2c26-558e-4b7d-b81e-55de91ac3ebd,1,Glipizide Retired Retired Retired,e6701098-9f0e-41f9-9c9d-fcdb57715bef,33b0b316-8a92-11e4-977f-0800271c1b75,5 mg,,
f1bf36d3-1d21-4488-8d88-4f03fcd860f9,1,Pioglitazone Retired Retired Retired,01e09697-7bd1-42da-9c71-79f0fd1f8e02,33b0b316-8a92-11e4-977f-0800271c1b75,15 mg,,
7574c69b-1133-4805-bc31-64635f40c3c0,1,Aceclofenac 100mg Retired Retired Retired,38752a31-5b23-4957-ae0c-ecdbc6b0a489,33b0b316-8a92-11e4-977f-0800271c1b75,100mg,,
6ad082b1-2783-4783-9c11-5cc63cf3a1b0,1,Acyclovir 0.3% Retired Retired Retired,783aff6f-c427-4511-8df4-872b87fad050,c11814ab-4e88-46d7-8e9c-e78eb8312750,0.30%,,
ed86eff4-56a2-471f-beb1-f0e50c943d83,1,Acyclovir 200mg Retired Retired Retired,783aff6f-c427-4511-8df4-872b87fad050,33b0b316-8a92-11e4-977f-0800271c1b75,200mg,,
42270fd1-f4de-4a20-981f-f1a8d2bddf4f,1,Acyclovir 5% Retired Retired Retired,783aff6f-c427-4511-8df4-872b87fad050,29f057e5-c86d-4980-bdb0-69b46cd477c5,5%,,
e847482c-7746-46b9-a8d5-7ca21302c969,1,Adrenaline 1mg/ml Retired Retired Retired,d770fc0a-1482-4078-b0cd-9a91d9afe0e5,111b7c83-bd20-456a-9eb0-ab647e6566e0,1mg/ml,,
35156f22-5e0e-404c-94a6-31762ca7ded5,1,Albendazole 200mg/5ml Retired Retired Retired,8f668b49-584f-4cba-b0f2-817a8aaf50c4,17b46434-eadc-452a-a13b-35d9a85d3d19,200mg/5ml,,
6a1295ac-c91f-48bc-84c6-ae8510d70832,1,Allopurinol 100mg Retired Retired Retired,80afda71-a024-4565-a936-9800fb3cb66d,33b0b316-8a92-11e4-977f-0800271c1b75,100mg,,
24889f97-892a-4ac9-ac9b-fa753391f2f0,1,Alprazolam 0.25mg Retired Retired Retired,93ab76c0-6a9a-4d3e-9654-78dadae5db72,33b0b316-8a92-11e4-977f-0800271c1b75,0.25mg,,
2e4f8ba6-95c6-4ee9-96a9-28bcbd82c031,1,Amikacin 250mg/2ml Retired Retired Retired,15ed8cf2-f0bf-4cfa-9181-9a285e1349bd,111b7c83-bd20-456a-9eb0-ab647e6566e0,250mg/2ml,,
5dd8e5f3-4f3a-4c7a-abf3-64617f7afcc2,1,Amikacin 500mg/2ml Retired Retired Retired,15ed8cf2-f0bf-4cfa-9181-9a285e1349bd,111b7c83-bd20-456a-9eb0-ab647e6566e0,500mg/2ml,,
ce6e35a2-af23-44ed-a05d-cd6d971d6a2b,1,Amitriptyline 25mg Retired Retired Retired,d721dc0f-fcc0-4beb-801c-6c6c21baa5bf,33b0b316-8a92-11e4-977f-0800271c1b75,25mg,,
57242c4b-14c8-4170-8548-85426da0d00c,1,Amlodipine 2.5mg Retired Retired Retired,93491208-5dc1-47e5-9f3c-7bf99919f13a,33b0b316-8a92-11e4-977f-0800271c1b75,2.5mg,,
7c77daa3-3e6f-4adc-a503-42eca0b6ab8e,1,Amlodipine 5mg Retired Retired Retired,93491208-5dc1-47e5-9f3c-7bf99919f13a,33b0b316-8a92-11e4-977f-0800271c1b75,5mg,,
1c2c48b1-c11f-47db-b4d2-8ece997b0594,1,Amlodipine & Atenolol 5mg + 50mg Retired Retired Retired,73a42073-eff0-436c-aed3-3001b0a2b603,33b0b316-8a92-11e4-977f-0800271c1b75,5mg + 50mg,,
f1b2394e-6272-4320-930f-098efd0246ca,1,Amoxicillin 250mg Retired Retired Retired,627a6041-ad81-4968-8adf-2f49aec4433b,33b0b316-8a92-11e4-977f-0800271c1b75,250mg,,
293e55c4-f3be-4852-8b3b-49cf6309451c,1,Amoxicillin 125mg Retired Retired Retired,627a6041-ad81-4968-8adf-2f49aec4433b,33b0b316-8a92-11e4-977f-0800271c1b75,125mg,,
daffaf79-8dd5-4bf4-94b2-2a3058c59c6e,1,Amoxicillin 125mg/5ml Retired Retired Retired,627a6041-ad81-4968-8adf-2f49aec4433b,17b46434-eadc-452a-a13b-35d9a85d3d19,125mg,,
013b90a8-243a-426c-88fe-985cb50e27ee,1,Amoxicillin 250mg Retired Retired Retired,627a6041-ad81-4968-8adf-2f49aec4433b,33b11175-8a92-11e4-977f-0800271c1b75,250mg,,
ee0403f3-867a-43c1-926e-4d177bd13948,1,Amoxicillin 500mg Retired Retired Retired,627a6041-ad81-4968-8adf-2f49aec4433b,33b11175-8a92-11e4-977f-0800271c1b75,500mg,,
5eef9d45-083c-4c39-8753-8202e3ea0451,1,Amoxicillin & Clavulanic Acid 500mg + 125mg Retired Retired Retired,7d46eccd-e611-4476-a114-9abd22767947,33b0b316-8a92-11e4-977f-0800271c1b75,500mg + 125mg,,
b3572f0e-a4b7-4e8e-9fba-f7dd45a7a047,1,Amoxicillin & Clavulanate 200mg + 28.5mg / 5ml Retired Retired Retired,5af24242-1f58-40ef-a9a6-417cdf53c81c,17b46434-eadc-452a-a13b-35d9a85d3d19,200mg + 28.5mg / 5ml,,
e188a20a-2734-41d6-827c-9316fbee9a36,1,Amoxicillin & Cloxacillin 125mg + 125mg / 5ml Retired Retired Retired,f0dbd31e-d189-44ca-b3cb-4dfe7f88c08f,17b46434-eadc-452a-a13b-35d9a85d3d19,125mg + 125mg / 5ml,,
4f742e41-1f3d-455d-95ca-2cefd4fac1f1,1,Amphotericin B 50mg Retired Retired Retired,0212639d-bb3a-4307-9bb5-95c84e78b8ef,111b7c83-bd20-456a-9eb0-ab647e6566e0,50mg,,
22c07320-863c-481b-bdd5-31140f134ef2,1,Ampicillin 1000mg/5ml Retired Retired Retired,f9f69437-669d-4a3e-930b-b36994a2f9d4,111b7c83-bd20-456a-9eb0-ab647e6566e0,1000mg/5ml,,
326545d4-8815-482e-8282-c4dcdcd300de,1,Ampicillin 500mg/2ml Retired Retired Retired,f9f69437-669d-4a3e-930b-b36994a2f9d4,111b7c83-bd20-456a-9eb0-ab647e6566e0,500mg/2ml,,
76badfd9-78b5-4fa0-b423-e149088a88da,1,Ampicillin & Cloxacillin 1000mg/5ml Retired Retired Retired,08c44970-d497-4270-8dad-e50a3df7e6a8,111b7c83-bd20-456a-9eb0-ab647e6566e0,1000mg/5ml,,
6be42641-8f5c-4b29-bc8f-acec6d2dc5cf,1,Ampicillin & Cloxacillin 125mg + 125mg / 40ml Retired Retired Retired,08c44970-d497-4270-8dad-e50a3df7e6a8,17b46434-eadc-452a-a13b-35d9a85d3d19,125mg + 125mg / 40ml,,
71fc65dc-2e67-4b96-8213-dffc5dda5fab,1,Ampicillin & Cloxacillin 250mg + 250mg Retired Retired Retired,08c44970-d497-4270-8dad-e50a3df7e6a8,33b11175-8a92-11e4-977f-0800271c1b75,250mg + 250mg,,
e7ab43cb-d909-4ad0-8ce4-91c28be32e2d,1,Ampicillin & Cloxacillin 250mg + 250mg Retired Retired Retired,08c44970-d497-4270-8dad-e50a3df7e6a8,33b0b316-8a92-11e4-977f-0800271c1b75,250mg + 250mg,,
0eb3e926-8ca0-415d-8d1d-90028d5a4e1d,1,Ampicillin & Cloxacillin 500mg/5ml Retired Retired Retired,08c44970-d497-4270-8dad-e50a3df7e6a8,111b7c83-bd20-456a-9eb0-ab647e6566e0,500mg/5ml,,
26fd8c3e-2813-4464-9719-2bc3bd7b4633,1,Antacid 180ml Retired Retired Retired,d00fa604-4fe6-445d-81e9-7ae4aff8341f,17b46434-eadc-452a-a13b-35d9a85d3d19,180ml,,
2af6f0b0-3289-45bd-9e7d-83596fee0949,1,Antacid 700mg Retired Retired Retired,d00fa604-4fe6-445d-81e9-7ae4aff8341f,33b0b316-8a92-11e4-977f-0800271c1b75,700mg,,
a42d3e70-fd8c-4e9f-bee3-47320383fd07,1,Antioxidant 1mg Retired Retired Retired,9cedc898-c7e5-4edb-8085-0a40f33645d0,33b11175-8a92-11e4-977f-0800271c1b75,1mg,,
